epglnren,sup_riscaldata,sup_raffrescata,vol_riscaldato,vol_raffrescato,sup_disperdente,rapsv,asolsut,classe_energetica,presenza_clim_invernale,presenza_clim_estiva,presenza_produzione_acs,yie,anno_costruzione,zona_climatica,d_uso_Residenziale,tipologia_edilizia,tipologia_costruttiva,num_servizi,efficienza_media,potenza_tot,num_simulati,construction_era,piano,tip_edilizia_sq,zona_clim_num,zona_clim_gg_mid
165.68,108.68,0.0,390.83,0.0,208.34,0.5331,0.1076,F,True,False,True,0.2204,1986-1991,E,True,5,c.a. con laterizi,2,0.6950000000000001,48.2,0,2,upper,25,5,2550
184.71,88.83,0.0,350.81,0.0,392.58,1.1191,0.0271,E,True,False,True,0.0912,1961-1975,D,True,5,mista (c.a. + laterizi),2,0.88,340.0,0,1,upper,25,4,1750
262.61,180.0,0.0,737.14,0.0,587.3,0.7967,0.1676,F,True,False,False,0.4927,1976-1985,D,False,3,c.a. con laterizi,2,0.57,0.35,1,2,underground,9,4,1750
177.7,80.78,80.78,266.43,266.43,66.07,0.248,0.0254,D,True,True,True,0.1567,1992-2005,D,False,3,prefabbricata in c.a.,4,0.6833333333333332,307.12,0,3,upper,9,4,1750
177.7,80.78,80.78,266.44,266.44,66.07,0.248,0.0254,D,True,True,True,0.1567,1992-2005,D,False,3,prefabbricata in c.a.,4,0.6833333333333332,307.12,0,3,upper,9,4,1750
133.05,108.0,0.0,441.5,0.0,311.43,0.7054,0.02,E,True,False,True,0.1981,before 1930,D,True,3,muratura portante,2,0.74,48.0,0,1,ground,9,4,1750
372.98,64.7,0.0,257.11,0.0,199.78,0.777,0.0269,G,True,False,True,0.4701,1930-1945,E,True,5,muratura portante,2,0.6100000000000001,47.6,0,1,upper,25,5,2550
104.52,100.0,0.0,397.96,0.0,158.09,0.3973,0.0041,E,True,False,True,0.0442,before 1930,D,True,3,muratura portante,2,0.575,50.0,0,1,upper,9,4,1750
93.69,147.24,18.69,628.86,88.25,366.38,0.5826,0.0359,D,True,True,True,0.1228,1961-1975,D,True,3,muratura portante,3,0.8033333333333333,28.5,0,1,multi_floor,9,4,1750
237.69,61.99,0.0,295.09,0.0,269.2,0.9123,0.0507,F,True,False,True,0.0737,before 1930,D,False,4,muratura portante,3,0.41333333333333333,48.8,0,1,ground,16,4,1750
79.83,106.0,0.0,411.55,0.0,125.58,0.3051,0.0325,E,True,False,True,0.0442,before 1930,D,True,3,muratura portante,2,0.56,46.6,0,1,upper,9,4,1750
171.82,75.0,0.0,295.12,0.0,130.68,0.4428,0.0195,F,True,False,True,0.136,before 1930,D,True,7,muratura portante,2,0.5650000000000001,48.0,0,1,upper,49,4,1750
104.12,95.7,0.0,328.62,0.0,59.48,0.181,0.0641,G,True,False,True,0.4269,1946-1960,D,True,7,c.a. con laterizi,2,0.355,125.0,0,1,upper,49,4,1750
113.31,42.3,0.0,163.16,0.0,67.38,0.413,0.0748,E,True,False,True,0.1702,after 2007,D,True,3,c.a. con laterizi,2,0.54,47.6,0,4,upper,9,4,1750
252.67,47.0,0.0,149.76,0.0,124.12,0.8288,0.0373,G,True,False,True,0.7112,before 1930,E,True,4,muratura portante,2,0.525,48.0,0,1,upper,16,5,2550
433.28,35.62,0.0,175.72,0.0,156.29,0.8894,0.0416,G,True,False,True,0.9401,1946-1960,D,True,1,muratura portante,2,0.585,37.8,0,1,upper,1,4,1750
413.42,54.52,0.0,270.88,0.0,222.22,0.8204,0.0307,G,True,False,True,1.0781,1946-1960,D,True,1,muratura portante,2,0.59,37.8,0,1,upper,1,4,1750
618.23,628.52,0.0,3896.82,0.0,2070.41,0.5313,0.1351,G,True,False,False,3.0067,1992-2005,E,False,5,prefabbricata in c.a.,2,0.73,2.0,1,3,ground,25,5,2550
387.4,252.32,0.0,962.6,0.0,841.58,0.8743,0.0467,G,True,False,False,2.2,1976-1985,E,False,5,muratura portante,2,0.73,0.4,1,1,ground,25,5,2550
108.34,33.92,33.92,120.12,120.12,94.91,0.7901,0.0315,C,True,True,True,0.067,1961-1975,D,True,8,mista (c.a. + laterizi),3,0.5933333333333334,9.25,0,1,ground,64,4,1750
178.05,87.37,0.0,329.91,0.0,225.07,0.6822,0.0194,F,True,False,True,0.2573,1961-1975,D,True,3,c.a. con laterizi,2,0.6950000000000001,48.8,0,1,upper,9,4,1750
40.18,140.95,0.0,513.07,0.0,164.66,0.3209,0.0141,A1,True,False,True,0.3305,1961-1975,E,True,4,altro,2,0.325,30.0,0,1,multi_floor,16,5,2550
258.81,84.88,0.0,363.77,0.0,201.23,0.5532,0.08,G,True,False,True,0.4701,1961-1975,D,True,3,c.a. con laterizi,2,0.665,47.4,0,1,upper,9,4,1750
91.93,88.0,0.0,339.52,0.0,105.38,0.3104,0.0642,F,True,False,True,0.6987,1961-1975,D,True,1,muratura portante,2,0.47000000000000003,369.3,0,1,upper,1,4,1750
176.59,32.49,0.0,132.76,0.0,90.76,0.6836,0.0528,G,True,False,True,0.4949,1986-1991,D,True,7,c.a. con laterizi,2,0.44000000000000006,52.6,0,2,ground,49,4,1750
50.01,136.4,136.4,522.29,522.29,105.75,0.2025,0.0157,A2,True,True,True,0.0325,1961-1975,D,True,4,c.a. con laterizi,3,0.7466666666666667,42.6,0,1,upper,16,4,1750
157.22,70.19,39.2,266.1,147.31,179.49,0.6745,0.0192,E,True,True,True,0.1479,before 1930,D,True,5,muratura portante,3,0.9033333333333333,53.06,0,1,upper,25,4,1750
121.07,49.69,0.0,195.05,0.0,167.12,0.8568,0.0715,E,True,False,True,0.254,1992-2005,D,True,3,muratura portante,2,0.6,42.8,0,3,ground,9,4,1750
234.64,127.75,0.0,480.61,0.0,259.15,0.5392,0.08,G,True,False,True,0.4227,1976-1985,E,True,2,c.a. con laterizi,2,0.6,48.2,0,2,ground,4,5,2550
127.72,100.92,0.0,453.09,0.0,430.98,0.9512,0.0972,F,True,False,True,0.6502,1930-1945,D,True,7,muratura portante,2,0.655,48.0,0,1,upper,49,4,1750
114.34,58.8,0.0,134.07,0.0,58.29,0.4348,0.081,E,True,False,True,0.1446,2006-2007,D,True,3,c.a. con laterizi,2,0.455,48.0,0,3,upper,9,4,1750
58.55,136.4,0.0,522.29,0.0,105.75,0.2025,0.0153,C,True,False,True,0.0325,1961-1975,D,True,4,c.a. con laterizi,2,0.665,46.6,0,1,upper,16,4,1750
645.51,650.33,0.0,2090.61,0.0,1217.19,0.5822,0.046,C,True,False,True,0.5341,1976-1985,D,False,5,prefabbricata in c.a.,3,0.56,52.7,0,2,multi_floor,25,4,1750
62.41,60.84,0.0,232.1,0.0,155.2,0.6687,0.0548,B,True,False,True,0.0534,after 2007,D,True,5,c.a. con laterizi,2,0.62,45.8,0,4,ground,25,4,1750
57.63,82.35,76.55,328.9,308.6,248.73,0.7563,0.0058,A1,True,True,True,0.244,1946-1960,D,False,1,muratura portante,3,0.8233333333333333,43.480000000000004,0,1,upper,1,4,1750
81.27,135.08,0.0,632.87,0.0,210.38,0.3324,0.0269,C,True,False,False,0.1127,1992-2005,D,False,4,prefabbricata in c.a.,2,0.73,0.92,1,3,ground,16,4,1750
91.26,749.25,0.0,3386.62,0.0,1386.57,0.4094,0.0896,D,True,False,False,0.0846,1992-2005,D,False,4,prefabbricata in c.a.,2,0.73,6.03,1,3,multi_floor,16,4,1750
92.74,154.03,0.0,749.33,0.0,395.57,0.5279,0.0911,D,True,False,False,0.1127,1992-2005,D,False,4,prefabbricata in c.a.,2,0.73,0.92,1,3,ground,16,4,1750
472.78,56.94,56.94,215.76,215.76,253.78,1.1762,0.1435,F,True,True,True,0.578,before 1930,D,False,5,muratura portante,4,0.39333333333333337,23.9,0,1,ground,25,4,1750
201.06,76.95,76.95,356.38,356.38,195.25,0.5479,0.0903,C,True,True,True,0.4027,1992-2005,D,False,4,c.a. con laterizi,4,0.5433333333333333,8.969999999999999,0,3,ground,16,4,1750
84.79,39.22,0.0,149.0,0.0,38.46,0.2581,0.073,F,True,False,True,0.284,1992-2005,D,True,3,c.a. con laterizi,2,0.41500000000000004,48.0,0,3,upper,9,4,1750
144.6,143.83,143.83,556.63,556.63,209.58,0.3765,0.0983,C,True,True,True,0.4661,1976-1985,D,False,5,c.a. con laterizi,4,0.5033333333333333,31.75,0,2,upper,25,4,1750
